unique_id,ExtraDay
N48B_M_VR,1
P53_M_VR,1
P41A_M_VR,1
P48_M_VR,1
V61_L_VR,0
W04_L_VR,1
Y105A_S_VR,1
V28_S_VR,1
V28_M_VR,1
P46B_M_VR,1
P49_M_VR,1
P46A_M_VR,1
V62_L_VR,0
V40_M_VR,0
P52_M_VR,1
Y105B_M_PO,0
A50C_S_VR,1
W04_M_VR,1
V35_M_VR,1
P50_M_VR,1
P41C_M_VR,1
Z63_M_VR,1
Y72A_S_VR,1
V35_S_VR,1
P41B_M_VR,1
X39_S_VR,1
V30_M_VR,1
X39_M_VR,1
V30_S_VR,1
R35_S_VR,1
N48A_M_VR,1
P19_M_VR,1
X94A_S_VR,1
X99_M_VR,1
V41_M_VR,0
K57B_S_VR,1
X69B_S_VR,1
X99_S_VR,1
X93A_S_VR,1
X69A_S_VR,1
R33_M_VR,1
K57A_S_VR,1
Y56C_S_VR,0
Y56B_S_VR,1
Y56A_S_VR,1
W88_S_VR,0
L05_S_VR,0
M32B_M_VR,0
M32B_S_VR,0
I24A_S_VR,0
B80B_M_VR,0
B43A_S_VR,0
B80B_S_VR,0
L25A_S_VR,0
A65A_S_VR,0
M32A_S_VR,0
Y24A_S_VR,0
X59_S_VR,0
W63B_S_VR,0
L104_S_VR,0
U30_S_VR,0
P29_S_VR,0
M42B_S_VR,0
W22B_S_VR,0
V55_S_VR,0
A13A_S_VR,0
X24B_S_VR,0
X62A_S_VR,0
T51A_S_VR,0
A31A_S_VR,0
B77V_S_PO,0
M08B_S_VR,0
X24A_S_VR,0
X62B_S_VR,0
Y98B_S_VR,0
B44A_S_VR,0
T51C_L_PO,0
T40_S_VR,0
C30_M_VR,0
A55B_S_VR,0
T51B_S_VR,0
W64_S_VR,0
U03A_S_VR,0
X19A_S_VR,0
A62_S_VR,0
Q14A_S_VR,0
L25B_S_VR,0
Y41A_S_VR,0
W22AV_S_PO,0
A31B_S_VR,0
B70A_S_VR,0
C09_S_VR,0
D33_S_VR,0
D67A_S_VR,0
N38V_S_VR,1
T51C_S_VR,0
B44A_L_PO,0
D28_S_VR,0
P44_S_VR,0
B62B_S_VR,0
W65_S_VR,0
N45A_L_VR,0
N45A_S_VR,1
L17_S_VR,0
W95B_S_VR,0
D36A_S_VR,0
I17A_S_VR,0
Q33A_S_VR,0
Y53B_S_VR,0
Q33B_S_VR,0
B74B_M_VR,0
B74B_S_VR,0
B78A_M_VR,0
B78A_S_VR,0
H40A_S_VR,0
W95B_L_VR,0
B88_M_VR,0
V76B_L_VR,0
M64_S_VR,0
N11B_S_VR,0
X64A_S_VR,0
X87B_S_VR,0
D91B_S_VR,0
